energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.987999999999999901e+01 2.910258067473325523e-04 2.910257551020511307e-04 2.012581427062084258e-04 2.611032348518640815e-04 8.976763821848341568e-05 2.910257809246918686e-04 2.155312707896054540e-04 7.549451013508638752e-05 2.012581427062084258e-04 8.976763821848341568e-05
-1.987000000000000099e+01 2.976840563369317471e-04 2.976840035037972869e-04 2.058635202444745115e-04 2.670771933617345061e-04 9.182050967589000545e-05 2.976840299203645170e-04 2.204630565728896358e-04 7.722097334747486761e-05 2.058635202444745115e-04 9.182050967589000545e-05
-1.985999999999999943e+01 3.041050598672983369e-04 3.041050058879588383e-04 2.103048947652257767e-04 2.728383201734943986e-04 9.380013811240283804e-05 3.041050328776286147e-04 2.252191936382799437e-04 7.888583923934868456e-05 2.103048947652257767e-04 9.380013811240283804e-05
-1.985000000000000142e+01 3.102808729479818758e-04 3.102808178654978375e-04 2.145767720017526588e-04 2.783794876050774483e-04 9.570407340498719782e-05 3.102808454067398566e-04 2.297937981474951175e-04 8.048704725924472555e-05 2.145767720017526588e-04 9.570407340498719782e-05
-1.983999999999999986e+01 3.162052647828979854e-04 3.162052086414398038e-04 2.186748424887666577e-04 2.836951053043681309e-04 9.753039422340220978e-05 3.162052367121688675e-04 2.341822551421631632e-04 8.202298157000573143e-05 2.186748424887666577e-04 9.753039422340220978e-05
-1.982999999999999829e+01 3.218736979133156534e-04 3.218736407578648710e-04 2.225959675650027744e-04 2.887811020787277934e-04 9.927770177058748780e-05 3.218736693355902893e-04 2.383812035511393161e-04 8.349246578445094612e-05 2.225959675650027744e-04 9.927770177058748780e-05
-1.982000000000000028e+01 3.272832898900138936e-04 3.272832317660707892e-04 2.263381528808528073e-04 2.936348915123125148e-04 1.009451079471895070e-04 3.272832608280423143e-04 2.423885078162900332e-04 8.489475301175229466e-05 2.263381528808528073e-04 1.009451079471895070e-04
-1.980999999999999872e+01 3.324327582222098626e-04 3.324326991755111797e-04 2.299005103427185289e-04 2.982553225801465508e-04 1.025322183561419923e-04 3.324327286988604940e-04 2.462032171345601293e-04 8.622951156430040535e-05 2.299005103427185289e-04 1.025322183561419923e-04
-1.980000000000000071e+01 3.373223501684909174e-04 3.373222902447393012e-04 2.332832095762562067e-04 3.026426166631621508e-04 1.040391106303588891e-04 3.373223202066151093e-04 2.498255134753028729e-04 8.749680673131223635e-05 2.332832095762562067e-04 1.040391106303588891e-04
-1.978999999999999915e+01 3.419537591117208946e-04 3.419536983563296710e-04 2.364874201128988834e-04 3.067982925269831587e-04 1.054663086211263994e-04 3.419537287340252557e-04 2.532566496627352724e-04 8.869707907128998332e-05 2.364874201128988834e-04 1.054663086211263994e-04
-1.978000000000000114e+01 3.463300293938134460e-04 3.463299678516676091e-04 2.395152455966473618e-04 3.107250809473761661e-04 1.068147530260931657e-04 3.463299986227405276e-04 2.564988789125557684e-04 8.983111971018477272e-05 2.395152455966473618e-04 1.068147530260931657e-04
-1.976999999999999957e+01 3.504554515765932353e-04 3.504553892918295171e-04 2.423696513705902338e-04 3.144268307463376350e-04 1.080857690636211017e-04 3.504554204342113220e-04 2.595553772786590697e-04 9.090004315555227942e-05 2.423696513705902338e-04 1.080857690636211017e-04
-1.976000000000000156e+01 3.543354501420718935e-04 3.543353871578779155e-04 2.450543868351931932e-04 3.179084080450476674e-04 1.092810318147816707e-04 3.543354186499748774e-04 2.624301605007746375e-04 9.190525814920025348e-05 2.450543868351931932e-04 1.092810318147816707e-04
-1.975000000000000000e+01 3.579764656507666192e-04 3.579764020092012400e-04 2.475739039740736656e-04 3.211755905446804721e-04 1.104025298559102369e-04 3.579764338299839025e-04 2.651279967477878610e-04 9.284843708219602790e-05 2.475739039740736656e-04 1.104025298559102369e-04
-1.973999999999999844e+01 3.613858333425625825e-04 3.613857690843977127e-04 2.499332734193919795e-04 3.242349586154508125e-04 1.114525277940881952e-04 3.613858012134802018e-04 2.676543167262420038e-04 9.373148448723818448e-05 2.499332734193919795e-04 1.114525277940881952e-04
-1.973000000000000043e+01 3.645716600942885315e-04 3.645715952588726326e-04 2.521380993803705277e-04 3.270937849111772125e-04 1.124335282962100408e-04 3.645716276765805820e-04 2.700151225714476433e-04 9.455650510513291160e-05 2.521380993803705277e-04 1.124335282962100408e-04
-1.971999999999999886e+01 3.675427015455362350e-04 3.675426361706789062e-04 2.541944346874919062e-04 3.297599241345690519e-04 1.133482341706156237e-04 3.675426688581075706e-04 2.722168968626297730e-04 9.532577199547775687e-05 2.541944346874919062e-04 1.133482341706156237e-04
-1.971000000000000085e+01 3.703082410737735392e-04 3.703081751956524385e-04 2.561086971147218594e-04 3.322417044613826123e-04 1.141995110199911295e-04 3.703082081347129888e-04 2.742665130069308330e-04 9.604169512778214224e-05 2.561086971147218594e-04 1.141995110199911295e-04
-1.969999999999999929e+01 3.728779721462989818e-04 3.728779057993869680e-04 2.578875880359695737e-04 3.345478219938852107e-04 1.149903509368733876e-04 3.728779389728429749e-04 2.761711481234268499e-04 9.670679084941611150e-05 2.578875880359695737e-04 1.149903509368733876e-04
-1.969000000000000128e+01 3.752618854051301784e-04 3.752618186221420762e-04 2.595380143534582219e-04 3.366872394602434741e-04 1.157238376601778783e-04 3.752618520136361273e-04 2.779381994313570971e-04 9.732365258227900309e-05 2.595380143534582219e-04 1.157238376601778783e-04
-1.967999999999999972e+01 3.774701616566236641e-04 3.774700944684827083e-04 2.610670145082565475e-04 3.386690902111209552e-04 1.164031135542966793e-04 3.774701280625532133e-04 2.795752050103052872e-04 9.789492305224789894e-05 2.610670145082565475e-04 1.164031135542966793e-04
-1.967000000000000171e+01 3.795130717455467832e-04 3.795130041813680306e-04 2.624816892504181973e-04 3.405025883924443731e-04 1.170313487130391825e-04 3.795130379634574069e-04 2.810897696578402733e-04 9.842326830561712000e-05 2.624816892504181973e-04 1.170313487130391825e-04
-1.966000000000000014e+01 3.814008840982864969e-04 3.814008161853770971e-04 2.637891377113282939e-04 3.421969459983306293e-04 1.176117124305035166e-04 3.814008501418318241e-04 2.824894964257072079e-04 9.891135371612456203e-05 2.637891377113282939e-04 1.176117124305035166e-04
-1.964999999999999858e+01 3.831437805264096869e-04 3.831437122902837359e-04 2.649963991870827847e-04 3.437612973345921053e-04 1.181473472212639131e-04 3.831437464083467114e-04 2.837819242723965056e-04 9.936182213595021932e-05 2.649963991870827847e-04 1.181473472212639131e-04
-1.964000000000000057e+01 3.847517806939631060e-04 3.847517121583697271e-04 2.661104009118660002e-04 3.452046312547329444e-04 1.186413455143004299e-04 3.847517464261664437e-04 2.849744721308356335e-04 9.977727429533078305e-05 2.661104009118660002e-04 1.186413455143004299e-04
-1.962999999999999901e+01 3.862346754733185028e-04 3.862346066602820706e-04 2.671379119768081179e-04 3.465357313701361943e-04 1.190967290899921959e-04 3.862346410668002867e-04 2.860743895577130586e-04 1.001602515090872553e-04 2.671379119768081179e-04 1.190967290899921959e-04
-1.962000000000000099e+01 3.876019692480722149e-04 3.876019001779424994e-04 2.680855034348269671e-04 3.477631242869472271e-04 1.195164312781804035e-04 3.876019347130073571e-04 2.870887140077964771e-04 1.005132207052108665e-04 2.680855034348269671e-04 1.195164312781804035e-04
-1.960999999999999943e+01 3.888628310699550057e-04 3.888627617614663157e-04 2.689595145271665168e-04 3.488950357861959461e-04 1.199032818885441439e-04 3.888627964157106878e-04 2.880242346643893257e-04 1.008385617513213621e-04 2.689595145271665168e-04 1.199032818885441439e-04
-1.960000000000000142e+01 3.900260544417692037e-04 3.900259849121058726e-04 2.697660248740420133e-04 3.499393547426390841e-04 1.202599948028955384e-04 3.900260196769375653e-04 2.888874626571401793e-04 1.011385570197973995e-04 2.697660248740420133e-04 1.202599948028955384e-04
-1.958999999999999986e+01 3.911000253813163717e-04 3.910999556461850738e-04 2.705108323908663143e-04 3.509036044727892713e-04 1.205891581228843949e-04 3.910999905137507227e-04 2.896846074117462940e-04 1.014153831020044152e-04 2.705108323908663143e-04 1.205891581228843949e-04
-1.957999999999999829e+01 3.920926983228349683e-04 3.920926283965401249e-04 2.711994366234617409e-04 3.517949211142789266e-04 1.208932267362257650e-04 3.920926633596875195e-04 2.904215588031897727e-04 1.016711045564977467e-04 2.711994366234617409e-04 1.208932267362257650e-04
-1.957000000000000028e+01 3.930115793328065217e-04 3.930115092283295022e-04 2.718370271405778503e-04 3.526200385672379400e-04 1.211745171399901345e-04 3.930115442805680120e-04 2.911038747251537139e-04 1.019076695554142574e-04 2.718370271405778503e-04 1.211745171399901345e-04
-1.955999999999999872e+01 3.938637160558380976e-04 3.938636457849175590e-04 2.724284765797527815e-04 3.533852794735027766e-04 1.214352043406250061e-04 3.938636809203778012e-04 2.917367736429849747e-04 1.021269072773928400e-04 2.724284765797527815e-04 1.214352043406250061e-04
-1.955000000000000071e+01 3.946556937629665035e-04 3.946556233361805726e-04 2.729783379125688583e-04 3.540965516705720504e-04 1.216773206370047475e-04 3.946556585495735923e-04 2.923251316654531889e-04 1.023305268841204170e-04 2.729783379125688583e-04 1.216773206370047475e-04
-1.953999999999999915e+01 3.953936368481144594e-04 3.953935662749612353e-04 2.734908454769465229e-04 3.547593495333407031e-04 1.219027560845912839e-04 3.953936015615377932e-04 2.928734836508471002e-04 1.025201179106906659e-04 2.734908454769465229e-04 1.219027560845912839e-04
-1.953000000000000114e+01 3.960832151071933785e-04 3.960831443961709462e-04 2.739699193163505761e-04 3.553787596065716516e-04 1.221132604353316134e-04 3.960831797516821623e-04 2.933860278546259132e-04 1.026971518970562762e-04 2.739699193163505761e-04 1.221132604353316134e-04
-1.951999999999999957e+01 3.967296541369552849e-04 3.967295832956405370e-04 2.744191723675816637e-04 3.559594699333925314e-04 1.223104463487162744e-04 3.967296187162979381e-04 2.938666336277714485e-04 1.028629850885264896e-04 2.744191723675816637e-04 1.223104463487162744e-04
-1.951000000000000156e+01 3.973377492054236599e-04 3.973376782405479198e-04 2.748419200490029735e-04 3.565057824983248872e-04 1.224957936739828163e-04 3.973377137229858170e-04 2.943188516858891960e-04 1.030188620370966210e-04 2.748419200490029735e-04 1.224957936739828163e-04
-1.950000000000000000e+01 3.979118819707830605e-04 3.979118108883045071e-04 2.752411918183728340e-04 3.570216282258201158e-04 1.226706546111709499e-04 3.979118464295437838e-04 2.947459264876524506e-04 1.031659199418913332e-04 2.752411918183728340e-04 1.226706546111709499e-04
-1.948999999999999844e+01 3.984560394591681867e-04 3.984559682643423273e-04 2.756197442926545320e-04 3.575105840053883848e-04 1.228362595691006979e-04 3.984560038617552570e-04 2.951508102860358508e-04 1.033051935757194062e-04 2.756197442926545320e-04 1.228362595691006979e-04
-1.948000000000000043e+01 3.989738347520605010e-04 3.989737634495050069e-04 2.759800755500129658e-04 3.579758912505261398e-04 1.229937235507697882e-04 3.989737991007827811e-04 2.955361784455952118e-04 1.034376206551875557e-04 2.759800755500129658e-04 1.229937235507697882e-04
-1.946999999999999886e+01 3.994685288792441556e-04 3.994684574730020710e-04 2.763244402654888260e-04 3.584204755392450537e-04 1.231440529106342873e-04 3.994684931761231404e-04 2.959044456525549436e-04 1.035640475235681968e-04 2.763244402654888260e-04 1.231440529106342873e-04
-1.946000000000000085e+01 3.999430534618807990e-04 3.999429819554776240e-04 2.766548653654483372e-04 3.588469669276022353e-04 1.232881523432308743e-04 3.999430177086792386e-04 2.962577826804542675e-04 1.036852350282249440e-04 2.766548653654483372e-04 1.232881523432308743e-04
-1.944999999999999929e+01 4.004000337007370541e-04 4.003999620972353347e-04 2.769731659208038085e-04 3.592577205729254172e-04 1.234268319781823859e-04 4.003999978989861673e-04 2.965981334114800735e-04 1.038018644875061481e-04 2.769731659208038085e-04 1.234268319781823859e-04
-1.944000000000000128e+01 4.008418113556274113e-04 4.008417396576765038e-04 2.772809610342787698e-04 3.596548373491942102e-04 1.235608144723731336e-04 4.008417755066519305e-04 2.969272318513928462e-04 1.039145436552590978e-04 2.772809610342787698e-04 1.235608144723731336e-04
