energy x y z iso x_broadened y_broadened z_broadened iso_broadened
-2.000000000000000000e+01 4.160127213147445273e-06 4.160127213147445273e-06 4.160791015013675512e-06 4.160348480436188404e-06 1.516641601984440624e-05 1.516641601984440624e-05 1.516985701121974007e-05 1.516756301696951300e-05
-1.998999999999999844e+01 4.164680118965547466e-06 4.164680118965547466e-06 4.165346959985688369e-06 4.164902399305594716e-06 1.564990238997401246e-05 1.564990238997401246e-05 1.565343396148644655e-05 1.565107958047815264e-05
-1.998000000000000043e+01 4.169240749299835416e-06 4.169240749299835416e-06 4.169910882736710259e-06 4.169464127112126466e-06 1.613459818338832939e-05 1.613459818338832600e-05 1.613822086480066827e-05 1.613580574385910563e-05
-1.996999999999999886e+01 4.173808724256068701e-06 4.173808724256068701e-06 4.174482783266742877e-06 4.174033410592960376e-06 1.661837514819364703e-05 1.661837514819364703e-05 1.662208912860719219e-05 1.661961314166483214e-05
-1.996000000000000085e+01 4.178384803622727317e-06 4.178384803622727317e-06 4.179061395261657132e-06 4.178610334169036973e-06 1.709915285089146615e-05 1.709915285089146615e-05 1.710295798525173050e-05 1.710042122901155653e-05
-1.994999999999999929e+01 4.182967974348504603e-06 4.182967974348504603e-06 4.183648364929821688e-06 4.183194771208943349e-06 1.757494969452441517e-05 1.757494969452441517e-05 1.757884551835451578e-05 1.757624830246778204e-05
-1.994000000000000128e+01 4.187559502747531343e-06 4.187559502747531343e-06 4.188243312376995278e-06 4.187787439290686270e-06 1.804392712841626872e-05 1.804392712841626872e-05 1.804791287970691448e-05 1.804525571217981844e-05
-1.992999999999999972e+01 4.192158755662742992e-06 4.192158755662742992e-06 4.192845857708941715e-06 4.192387789678142567e-06 1.850442505153870252e-05 1.850442505153870252e-05 1.850849969839946950e-05 1.850578326715895705e-05
-1.992000000000000171e+01 4.196765353199899977e-06 4.196765353199899977e-06 4.197455494400006823e-06 4.196995400266602824e-06 1.895498732925760885e-05 1.895498732925760885e-05 1.895914960175713239e-05 1.895637475342411670e-05
-1.991000000000000014e+01 4.201379801884655627e-06 4.201379801884655627e-06 4.202073615395735987e-06 4.201611073055015183e-06 1.939437722801689424e-05 1.939437722801689424e-05 1.939862565260430248e-05 1.939579336954603371e-05
-1.989999999999999858e+01 4.206001975085595340e-06 4.206001975085595340e-06 4.206699714170475033e-06 4.206234554780555520e-06 1.982158332155747478e-05 1.982158332155747478e-05 1.982591625654241352e-05 1.982302763321912103e-05
-1.989000000000000057e+01 4.210632252696957842e-06 4.210632252696957842e-06 4.211333030935746504e-06 4.210865845443221294e-06 2.023581697721089378e-05 2.023581697721089378e-05 2.024023264795372706e-05 2.023728886745850374e-05
-1.987999999999999901e+01 4.215270381455919009e-06 4.215270381455919009e-06 4.215974832005680339e-06 4.215505198305839170e-06 2.063650287577546550e-05 2.063650287577546550e-05 2.064099940846923317e-05 2.063800172000672365e-05
-1.987000000000000099e+01 4.219916361362477148e-06 4.219916361362477148e-06 4.220623851066147447e-06 4.220152191263700581e-06 2.102326416982966951e-05 2.102326416982966951e-05 2.102783962300987548e-05 2.102478932088973704e-05
-1.985999999999999943e+01 4.224569812522394377e-06 4.224569812522394377e-06 4.225280974537037345e-06 4.224806866527275367e-06 2.139590387864868015e-05 2.139590387864868015e-05 2.140055627182112900e-05 2.139745467637282751e-05
-1.985000000000000142e+01 4.229231747986973124e-06 4.229231747986973124e-06 4.229946075786937123e-06 4.229469857253628072e-06 2.175438399624974047e-05 2.175438399624974047e-05 2.175911133526157976e-05 2.175595977592035469e-05
-1.983999999999999986e+01 4.233901281336323871e-06 4.233901281336323871e-06 4.234619028184436413e-06 4.234140530285695000e-06 2.209880359460273698e-05 2.209880359460273698e-05 2.210360389358611975e-05 2.210040369426385779e-05
-1.982999999999999829e+01 4.238578412570446618e-06 4.238578412570446618e-06 4.239299958360944737e-06 4.238818927833946838e-06 2.242937697288922263e-05 2.242937697288922263e-05 2.243424827277489290e-05 2.243100073951778052e-05
-1.982000000000000028e+01 4.243263901477818819e-06 4.243263901477818819e-06 4.243988992947876697e-06 4.243505598634504214e-06 2.274641266408493603e-05 2.274641266408493603e-05 2.275135304781258582e-05 2.274805945866081703e-05
-1.980999999999999872e+01 4.247957241532787992e-06 4.247957241532787992e-06 4.248685752050993566e-06 4.248200078372190415e-06 2.305029388215665856e-05 2.305029388215665856e-05 2.305530148680286085e-05 2.305196308370539266e-05
-1.980000000000000071e+01 4.252658432735354983e-06 4.252658432735354983e-06 4.253390488933119469e-06 4.252902451467943427e-06 2.334146078964773288e-05 2.334146078964773288e-05 2.334653381575319054e-05 2.334315179834955549e-05
-1.978999999999999915e+01 4.257367981611170582e-06 4.257367981611170582e-06 4.258103330225670702e-06 4.257613097816004520e-06 2.362039479330472105e-05 2.362039479330472105e-05 2.362553151171689720e-05 2.362210703277544644e-05
-1.978000000000000114e+01 4.262085255003171937e-06 4.262085255003171937e-06 4.262824149297231816e-06 4.262331553101191896e-06 2.388760493708786973e-05 2.388760493708786973e-05 2.389280369364685526e-05 2.388933785594086717e-05
-1.976999999999999957e+01 4.266810506174182325e-06 4.266810506174182325e-06 4.267553072779214025e-06 4.267058028375859841e-06 2.414361635660263345e-05 2.414361635660263345e-05 2.414887557499325609e-05 2.414536942939950992e-05
-1.976000000000000156e+01 4.271543735124203441e-06 4.271543735124203441e-06 4.272290100671621564e-06 4.271792523640009200e-06 2.438896068376820083e-05 2.438896068376820083e-05 2.439427886684469656e-05 2.439073341146036269e-05
-1.975000000000000000e+01 4.276285448378886920e-06 4.276285448378886920e-06 4.277034979711627769e-06 4.276535292156466638e-06 2.462416824126941657e-05 2.462416824126941657e-05 2.462954397113409865e-05 2.462596015122431060e-05
-1.973999999999999844e+01 4.281035012781166524e-06 4.281035012781167371e-06 4.281788343056294643e-06 4.281286122872876179e-06 2.484976183837492254e-05 2.484976183837492254e-05 2.485519377546312842e-05 2.485157248407099230e-05
-1.973000000000000043e+01 4.285792428331045639e-06 4.285792428331045639e-06 4.286549684179971398e-06 4.286044846947354226e-06 2.506625196839955166e-05 2.506625196839955166e-05 2.507173884979188922e-05 2.506808092886366192e-05
-1.971999999999999886e+01 4.290558328185585425e-06 4.290558328185585425e-06 4.291318749819833062e-06 4.290811802063667970e-06 2.527413320913920018e-05 2.527413320913920018e-05 2.527967384629115039e-05 2.527598008818984687e-05
-1.971000000000000085e+01 4.295332205819136785e-06 4.295332205819135938e-06 4.296096173132942486e-06 4.295586861590405352e-06 2.547388163725500387e-05 2.547388163725500048e-05 2.547947491330428780e-05 2.547574606260476066e-05
-1.969999999999999929e+01 4.300114441125936752e-06 4.300114441125936752e-06 4.300881954119303906e-06 4.300370278790392188e-06 2.566595308271721524e-05 2.566595308271721524e-05 2.567159794950217710e-05 2.566783470497886919e-05
-1.969000000000000128e+01 4.304904400948920781e-06 4.304904400948920781e-06 4.305675712884674359e-06 4.305161504927505307e-06 2.585078206757661107e-05 2.585078206757661107e-05 2.585647754247421707e-05 2.585268055920914528e-05
-1.967999999999999972e+01 4.309702971707979236e-06 4.309702971707979236e-06 4.310478209217531300e-06 4.309961384211162693e-06 2.602878129266086954e-05 2.602878129266086954e-05 2.603452645533180766e-05 2.603069634688451558e-05
-1.967000000000000171e+01 4.314509646877461328e-06 4.314509646877461328e-06 4.315288556697986906e-06 4.314769283484303187e-06 2.620034155497650137e-05 2.620034155497650137e-05 2.620613554408605589e-05 2.620227288467968734e-05
-1.966000000000000014e+01 4.319324679720192874e-06 4.319324679720192874e-06 4.320106755326040330e-06 4.319585371588808693e-06 2.636583199675444935e-05 2.636583199675444596e-05 2.637167400672249645e-05 2.636777933341046505e-05
-1.964999999999999858e+01 4.324147437079108482e-06 4.324147437079108482e-06 4.324933818152993998e-06 4.324409564103736987e-06 2.652560060367981800e-05 2.652560060367981800e-05 2.653148988150006118e-05 2.652756369628656686e-05
-1.964000000000000057e+01 4.328978932005513119e-06 4.328978932005513119e-06 4.329768858758957547e-06 4.329242240923327646e-06 2.667997488462411790e-05 2.667997488462411790e-05 2.668591072678196886e-05 2.668195349867673715e-05
-1.962999999999999901e+01 4.333818784605164669e-06 4.333818784605164669e-06 4.334612257038169702e-06 4.334083275416166064e-06 2.682926267807148393e-05 2.682926267807148393e-05 2.683524442758138188e-05 2.683125659457477873e-05
-1.962000000000000099e+01 4.338666868246653612e-06 4.338666868246653612e-06 4.339464139622044222e-06 4.338932625371784097e-06 2.697375304144435031e-05 2.697375304144435031e-05 2.697978008502006545e-05 2.697576205596959208e-05
-1.960999999999999943e+01 4.343523182929979947e-06 4.343523182929979947e-06 4.344324379879168195e-06 4.343790248579708516e-06 2.711371718881375832e-05 2.711371718881375832e-05 2.711978895417987539e-05 2.711574111060245949e-05
-1.960000000000000142e+01 4.348387855286552348e-06 4.348387855286552348e-06 4.349192597915301203e-06 4.348656102829469480e-06 2.724940945019387284e-05 2.724940945019387284e-05 2.725552540354221894e-05 2.725144810130998821e-05
-1.958999999999999986e+01 4.353261265210614625e-06 4.353261265210614625e-06 4.354069933413161965e-06 4.353530821278130688e-06 2.738106823195711329e-05 2.738106823195711329e-05 2.738722787554851283e-05 2.738312144648758319e-05
-1.957999999999999829e+01 4.358142399650860965e-06 4.358142399650860965e-06 4.358954866795793881e-06 4.358413222032505270e-06 2.750891696305325971e-05 2.750891696305325971e-05 2.751511983296258025e-05 2.751098458635636317e-05
-1.957000000000000028e+01 4.363032398290006700e-06 4.363032398290005853e-06 4.363848411114501917e-06 4.363304402564838722e-06 2.763316501585384036e-05 2.763316501585384036e-05 2.763941067985446344e-05 2.763524690385405031e-05
-1.955999999999999872e+01 4.367930881233815647e-06 4.367930881233815647e-06 4.368750693000696440e-06 4.368204151822775064e-06 2.775400859373504321e-05 2.775400859373504321e-05 2.776029664931753573e-05 2.775610461226254072e-05
-1.955000000000000071e+01 4.372837468588047383e-06 4.372837468588047383e-06 4.373661459191551632e-06 4.373112132122548799e-06 2.787163158010409091e-05 2.787163158010409091e-05 2.787796165262306639e-05 2.787374160427708838e-05
-1.953999999999999915e+01 4.377752666878353544e-06 4.377752666878353544e-06 4.378580203161418399e-06 4.378028512306041829e-06 2.798620634559241004e-05 2.798620634559241004e-05 2.799257808653511878e-05 2.798833025923997623e-05
-1.953000000000000114e+01 4.382676476104734978e-06 4.382676476104735825e-06 4.383508064593011228e-06 4.382953672267494575e-06 2.809789451169092736e-05 2.809789451169092736e-05 2.810430759706073134e-05 2.810003220681419987e-05
-1.951999999999999957e+01 4.387608769635778775e-06 4.387608769635778775e-06 4.388443777172201027e-06 4.387887105481252012e-06 2.820684767028044520e-05 2.820684767028044520e-05 2.821330179908841161e-05 2.820899904654976056e-05
-1.951000000000000156e+01 4.392549674102896150e-06 4.392549674102896150e-06 4.393388607213118583e-06 4.392829318472970012e-06 2.831320805938732354e-05 2.831320805938733031e-05 2.831970295224529968e-05 2.831537302367331672e-05
-1.950000000000000000e+01 4.397498936243262981e-06 4.397498936243262981e-06 4.398342174821523473e-06 4.397780015769349529e-06 2.841710919613548049e-05 2.841710919613548049e-05 2.842364459394414140e-05 2.841928766207170757e-05
-1.948999999999999844e+01 4.402456809319705083e-06 4.402456809319705083e-06 4.403303340314698669e-06 4.402738986318036278e-06 2.851867646831890874e-05 2.851867646831890874e-05 2.852525213104473305e-05 2.852086835589419029e-05
-1.948000000000000043e+01 4.407423419963634520e-06 4.407423419963634520e-06 4.408274129795252410e-06 4.407706989907506868e-06 2.861802768632743256e-05 2.861802768632743256e-05 2.862464339186276900e-05 2.862023292150588143e-05
-1.946999999999999886e+01 4.412398514912225474e-06 4.412398514912225474e-06 4.413252897054816878e-06 4.412683308959756224e-06 2.871527359735417920e-05 2.871527359735417920e-05 2.872192914045498932e-05 2.871749211172112043e-05
-1.946000000000000085e+01 4.417382347428303762e-06 4.417382347428303762e-06 4.418240781776107408e-06 4.417668492210904977e-06 2.881051836392298335e-05 2.881051836392298335e-05 2.881721355521925970e-05 2.881275009435506869e-05
-1.944999999999999929e+01 4.422374664249044414e-06 4.422374664249044414e-06 4.423236770907820727e-06 4.422662033135303185e-06 2.890386000881905304e-05 2.890386000881905304e-05 2.891059467389307455e-05 2.890610489717705908e-05
-1.944000000000000128e+01 4.427375592005859491e-06 4.427375592005859491e-06 4.428242004132673017e-06 4.427664396048130102e-06 2.899539082850309481e-05 2.899539082850309481e-05 2.900216480703114185e-05 2.899764882134578167e-05
-1.942999999999999972e+01 4.432385637224401477e-06 4.432385637224401477e-06 4.433256101556426397e-06 4.432675792001742552e-06 2.908519777705050147e-05 2.908519777705050147e-05 2.909201092200376158e-05 2.908746882536826500e-05
-1.942000000000000171e+01 4.437403913484778314e-06 4.437403913484779161e-06 4.438278303390602567e-06 4.437695376786720861e-06 2.917336282259409206e-05 2.917336282259409206e-05 2.918021499949472106e-05 2.917564688156097630e-05
-1.941000000000000014e+01 4.442431053944057088e-06 4.442431053944057088e-06 4.443309496055093583e-06 4.442723867981069253e-06 2.925996327816828617e-05 2.925996327816828617e-05 2.926685436439686728e-05 2.926226030691114654e-05
-1.939999999999999858e+01 4.447466931970823197e-06 4.447466931970823197e-06 4.448349426287069393e-06 4.447761096742904980e-06 2.934507210876116296e-05 2.934507210876116296e-05 2.935200199291179620e-05 2.934738207014470963e-05
-1.939000000000000057e+01 4.452511674196487856e-06 4.452511674196488703e-06 4.453398094086535926e-06 4.452807147493171111e-06 2.942875821628333446e-05 2.942875821628333446e-05 2.943572679756280234e-05 2.943108107670982263e-05
