energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.976999999999999957e+01 3.502572062112285171e-04 3.502570809992947053e-04 2.421926067267312353e-04 3.142356313124181977e-04 1.080645368785304166e-04 3.502571436052616654e-04 2.593749566999608842e-04 9.088218690530078117e-05 2.421926067267312353e-04 1.080645368785304166e-04
-1.976000000000000156e+01 3.541350051152847116e-04 3.541348785320200623e-04 2.448753867024040147e-04 3.177150901165696323e-04 1.092595551212483857e-04 3.541349418236523598e-04 2.622477455561034111e-04 9.188719626754894869e-05 2.448753867024040147e-04 1.092595551212483857e-04
-1.975000000000000000e+01 3.577739559463145435e-04 3.577738280777319050e-04 2.473930692835481855e-04 3.209802844358648419e-04 1.103808227284750523e-04 3.577738920120232514e-04 2.649437106062010666e-04 9.283018140582218478e-05 2.473930692835481855e-04 1.103808227284750523e-04
-1.973999999999999844e+01 3.611813898028640017e-04 3.611812607323298474e-04 2.497507213894381746e-04 3.240377906415440440e-04 1.114306038781587229e-04 3.611813252675968974e-04 2.674682787756785208e-04 9.371304649191841728e-05 2.497507213894381746e-04 1.114306038781587229e-04
-1.973000000000000043e+01 3.643654089841847472e-04 3.643652787921434089e-04 2.519539431263347518e-04 3.268948769675543388e-04 1.124114007618293398e-04 3.643653438881640509e-04 2.698274480213014716e-04 9.453789586686259293e-05 2.519539431263347518e-04 1.124114007618293398e-04
-1.971999999999999886e+01 3.673347641854849961e-04 3.673346329492253978e-04 2.540087828938311556e-04 3.295593933428472193e-04 1.133259156735240278e-04 3.673346985673551970e-04 2.720276964096309609e-04 9.530700215772422250e-05 2.540087828938311556e-04 1.133259156735240278e-04
-1.971000000000000085e+01 3.700987335414290076e-04 3.700986013348969901e-04 2.559216537682834245e-04 3.320396628815365102e-04 1.141770136698795743e-04 3.700986674381630259e-04 2.740758925633775722e-04 9.602277487478545369e-05 2.559216537682834245e-04 1.141770136698795743e-04
-1.969999999999999929e+01 3.726670050445738910e-04 3.726668719382250313e-04 2.576992522187705140e-04 3.343443764005231454e-04 1.149676862726289607e-04 3.726669384913994612e-04 2.759792086060285912e-04 9.668772988537089707e-05 2.576992522187705140e-04 1.149676862726289607e-04
-1.969000000000000128e+01 3.750495636940660003e-04 3.750494297547589265e-04 2.593484800925688468e-04 3.364824911804645551e-04 1.157010166318436030e-04 3.750494967244124363e-04 2.777450366082500461e-04 9.730446011616239021e-05 2.593484800925688468e-04 1.157010166318436030e-04
-1.967999999999999972e+01 3.772565845457339956e-04 3.772564498366636539e-04 2.608763706798001691e-04 3.384631350207326062e-04 1.163801465113986421e-04 3.772565171911987977e-04 2.793809094031958398e-04 9.787560778800294436e-05 2.608763706798001691e-04 1.163801465113986421e-04
-1.967000000000000171e+01 3.792983326427454066e-04 3.792981972234106438e-04 2.622900195342049126e-04 3.402955164667869335e-04 1.170082453988730719e-04 3.792982649330779981e-04 2.808944264957306163e-04 9.840383843734742248e-05 2.622900195342049126e-04 1.170082453988730719e-04
-1.966000000000000014e+01 3.811850706110674796e-04 3.811849345372729406e-04 2.635965205922416259e-04 3.419888419135273306e-04 1.175884819819285570e-04 3.811850025741701830e-04 2.822931856462489457e-04 9.889181692792123725e-05 2.635965205922416259e-04 1.175884819819285570e-04
-1.964999999999999858e+01 3.829269745106125724e-04 3.829268378345001417e-04 2.648029079990423993e-04 3.435522401147183711e-04 1.181239981735139578e-04 3.829269061725563842e-04 2.835847205666183909e-04 9.934218560593797976e-05 2.648029079990423993e-04 1.181239981735139578e-04
-1.964000000000000057e+01 3.845340583452281323e-04 3.845339211153356979e-04 2.659161039199828009e-04 3.449946944601822284e-04 1.186178858102991007e-04 3.845339897302818880e-04 2.847764450267800066e-04 9.975754470350188139e-05 2.659161039199828009e-04 1.186178858102991007e-04
-1.962999999999999901e+01 3.860161074562100934e-04 3.860159697175543259e-04 2.669428724932367773e-04 3.463249832223337502e-04 1.190731660936454866e-04 3.860160385868822096e-04 2.858756035384016521e-04 1.001404350484805982e-04 2.669428724932367773e-04 1.190731660936454866e-04
-1.962000000000000099e+01 3.873826208578152715e-04 3.873824826519949483e-04 2.678897799637902188e-04 3.475516278245334976e-04 1.194927717911148504e-04 3.873825517549050828e-04 2.868892286589163156e-04 1.004933230959887671e-04 2.678897799637902188e-04 1.194927717911148504e-04
-1.960999999999999943e+01 3.886427624217809519e-04 3.886426237870979541e-04 2.687631609346731280e-04 3.486828490478506419e-04 1.198795321697663249e-04 3.886426931044394259e-04 2.878241048471362365e-04 1.008185882573032300e-04 2.687631609346731280e-04 1.198795321697663249e-04
-1.960000000000000142e+01 3.898053206829972051e-04 3.898051816545916094e-04 2.695690905779357161e-04 3.497265309718415463e-04 1.202361605908586775e-04 3.898052511687943801e-04 2.886867387017766893e-04 1.011185124670177315e-04 2.695690905779357161e-04 1.202361605908586775e-04
-1.958999999999999986e+01 3.908786769214914560e-04 3.908785375314883896e-04 2.703133625670175316e-04 3.506901923399991438e-04 1.205652446594723641e-04 3.908786072264899499e-04 2.894833353276067122e-04 1.013952718988831835e-04 2.703133625670175316e-04 1.205652446594723641e-04
-1.957999999999999829e+01 3.918707810774923984e-04 3.918706413551569716e-04 2.710014724241390231e-04 3.515809649522627796e-04 1.208692387921856618e-04 3.918707112163247121e-04 2.902197805010952670e-04 1.016509307152294045e-04 2.710014724241390231e-04 1.208692387921856618e-04
-1.957000000000000028e+01 3.927891349767302556e-04 3.927889949486298667e-04 2.716386059212994530e-04 3.524055786155532279e-04 1.211504590413806218e-04 3.927890649626800883e-04 2.909016282484695628e-04 1.018874367142105254e-04 2.716386059212994530e-04 1.211504590413806218e-04
-1.955999999999999872e+01 3.936407822820095753e-04 3.936406419721785472e-04 2.722296321312144777e-04 3.531703521284675334e-04 1.214110799958795971e-04 3.936407121270940612e-04 2.915340934038509286e-04 1.021066187232431597e-04 2.722296321312144777e-04 1.214110799958795971e-04
-1.955000000000000071e+01 3.944323045437564857e-04 3.944321639738612977e-04 2.727791006945632681e-04 3.538811897373936657e-04 1.216531335642456101e-04 3.944322342588088646e-04 2.921220486830462208e-04 1.023101855757626167e-04 2.727791006945632681e-04 1.216531335642456101e-04
-1.953999999999999915e+01 3.951698226956350973e-04 3.951696818851417321e-04 2.732912428515186219e-04 3.545435824774318171e-04 1.218785094388698199e-04 3.951697522903884147e-04 2.926700257888680315e-04 1.024997265015204103e-04 2.732912428515186219e-04 1.218785094388698199e-04
-1.953000000000000114e+01 3.958590033301111763e-04 3.958588622964479670e-04 2.737699757777696074e-04 3.551626138014429531e-04 1.220889570355100184e-04 3.958589328132796530e-04 2.931822200555453048e-04 1.026767127577343211e-04 2.737699757777696074e-04 1.220889570355100184e-04
-1.951999999999999957e+01 3.965050690914371742e-04 3.965049278501534230e-04 2.742189097670485434e-04 3.557429689028797316e-04 1.222860887037467551e-04 3.965049984707952986e-04 2.936624981417156294e-04 1.028425003290796421e-04 2.742189097670485434e-04 1.222860887037467551e-04
-1.951000000000000156e+01 3.971128125382474895e-04 3.971126711031706231e-04 2.746413578123357521e-04 3.562889471512513243e-04 1.224713840083733313e-04 3.971127418207090563e-04 2.941144082923748408e-04 1.029983335283342154e-04 2.746413578123357521e-04 1.224713840083733313e-04
-1.950000000000000000e+01 3.976866128530114628e-04 3.976864712363933994e-04 2.750403471552320743e-04 3.568044770815456635e-04 1.226461948894703568e-04 3.976865420447024311e-04 2.945411927087050567e-04 1.031453493359973743e-04 2.750403471552320743e-04 1.226461948894703568e-04
-1.948999999999999844e+01 3.982304548091019606e-04 3.982303130217623873e-04 2.754186323961654208e-04 3.572931334090099229e-04 1.228117515192667802e-04 3.982303839154321739e-04 2.949458015895273016e-04 1.032845823259048859e-04 2.754186323961654208e-04 1.228117515192667802e-04
-1.948000000000000043e+01 3.987479494465074941e-04 3.987478074979676577e-04 2.757787097859192363e-04 3.577581555767980932e-04 1.229691686863183125e-04 3.987478784722375217e-04 2.953309084379194594e-04 1.034169700343180758e-04 2.757787097859192363e-04 1.229691686863183125e-04
-1.946999999999999886e+01 3.992423559524224414e-04 3.992422138510322164e-04 2.761228323502316635e-04 3.582024673845621613e-04 1.231194525514956925e-04 3.992422849017273831e-04 2.956989262600232178e-04 1.035433586417041518e-04 2.761228323502316635e-04 1.231194525514956925e-04
-1.946000000000000085e+01 3.997166042915306530e-04 3.997164620445861779e-04 2.764530255327889000e-04 3.586286972896352075e-04 1.232635076352694883e-04 3.997165331680584154e-04 2.960520243190211797e-04 1.036645088490372493e-04 2.764530255327889000e-04 1.232635076352694883e-04
